UserId,ProductId,Rating,Timestamp
Randall M.,Amazon Fire TV Game Controller,2.0,2016-03-17 00:00:00+00:00
Dean S,Amazon Fire TV Game Controller,3.0,2017-02-03 00:00:00+00:00
Linda Watson,Amazon Fire TV Game Controller,5.0,2017-04-22 00:00:00+00:00
Ashley,Amazon Fire TV Game Controller,5.0,2016-09-07 00:00:00+00:00
Theresa,Amazon Fire TV Game Controller,5.0,2016-09-12 00:00:00+00:00
Ekgeis,Amazon Fire TV Game Controller,5.0,2017-01-24 00:00:00+00:00
JEREMY L THOMPSON,Amazon Fire TV Game Controller,1.0,2016-09-09 00:00:00+00:00
Daultim,Amazon Fire TV Game Controller,4.0,2017-04-23 00:00:00+00:00
Erika S.,Amazon Fire TV Game Controller,5.0,2016-07-27 00:00:00+00:00
Jerry,Amazon Fire TV Game Controller,5.0,2017-01-13 00:00:00+00:00
Celeste Z.,Amazon Fire TV Game Controller,3.0,2017-07-11 00:00:00+00:00
Jbird,Amazon Tap Sling Cover - White,4.0,2016-04-01 00:00:00+00:00
Devin Stephens,Amazon Tap Sling Cover - White,5.0,
CHRISTOPHER JONES,Amazon Tap Sling Cover - White,5.0,2016-12-15 00:00:00+00:00
Jbird,Amazon Tap Sling Cover - Magenta,4.0,2016-04-01 00:00:00+00:00
Devin Stephens,Amazon Tap Sling Cover - Magenta,5.0,
CHRISTOPHER JONES,Amazon Tap Sling Cover - Magenta,5.0,2016-12-15 00:00:00+00:00
Liberty Standard,Certified Refurbished Kindle E-reader,5.0,
Rustic,Certified Refurbished Kindle E-reader,5.0,2014-11-07 00:00:00+00:00
Michael Gallagher,Certified Refurbished Kindle E-reader,4.0,
Jbird,Amazon Tap Sling Cover - Green,4.0,2016-04-01 00:00:00+00:00
Devin Stephens,Amazon Tap Sling Cover - Green,5.0,
CHRISTOPHER JONES,Amazon Tap Sling Cover - Green,5.0,2016-12-15 00:00:00+00:00
BShaw,Kindle Paperwhite E-reader - Black,5.0,2017-05-29 00:00:00+00:00
Desert Rat,Kindle Paperwhite E-reader - Black,5.0,2015-07-01 00:00:00+00:00
J. Chambers,Kindle Paperwhite E-reader - Black,5.0,
BShaw,Kindle Paperwhite 3G,5.0,2017-05-29 00:00:00+00:00
Desert Rat,Kindle Paperwhite 3G,5.0,2015-07-01 00:00:00+00:00
J. Chambers,Kindle Paperwhite 3G,5.0,
Irene,Fire HD 10 Tablet with Alexa,5.0,
FreeSpirit,Fire HD 10 Tablet with Alexa,3.0,
Mocha's mom,Fire HD 10 Tablet with Alexa,5.0,
Lou1492,Fire HD 10 Tablet with Alexa,5.0,
D. Miyao,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2017-01-30 00:00:00+00:00
dm,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2016-11-06 00:00:00+00:00
Corey Clarke,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,4.0,2016-11-11 00:00:00+00:00
A.C,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2016-11-28 00:00:00+00:00
Vincent Pompei,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,3.0,2016-11-17 00:00:00+00:00
Bob,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2017-04-20 00:00:00+00:00
JB 85,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,2017-01-12 00:00:00+00:00
C. Morrow,Amazon Echo Dot Case (fits Echo Dot 2nd Generation only) - Merlot Leather,5.0,
Clarissa Marshall,Fire Kids Edition Tablet,4.0,2016-07-13 00:00:00+00:00
Peter Rodick,Fire Kids Edition Tablet,1.0,2016-02-04 00:00:00+00:00
rdbud,Fire Kids Edition Tablet,3.0,2015-10-13 00:00:00+00:00
Irene,Fire HD 10 Tablet with Alexa,5.0,
FreeSpirit,Fire HD 10 Tablet with Alexa,3.0,
Mocha's mom,Fire HD 10 Tablet with Alexa,5.0,
Lou1492,Fire HD 10 Tablet with Alexa,5.0,
